Sentiment,Label
magmaan,positive
mahiwason,positive
simpleng baha nanaman lriga,negative
uda karapatan reklamo kadaklan bayad 3 taon halagang 2 500,negative
maray diri apektado,negative
dibale pirmi lipat iriga kansert,neutral
qnq nangana gsto niniong mangana mauuda rw ska baha,negative
cuidad drainage system,negative
priority kng lgu,neutral
tsagaan sanayan sabay suffer,negative
maray albay as voters,neutral
pwd ton mapakinabangan baha,positive
tipunon magamit tag tuyot,neutral
no hate arug dati bulan bulan papakalot kanal,neutral
lesson kanato bagyong kristine,neutral
godbless and keep safe kanato,positive
baha,negative
kolang sanayton linig,neutral
kanal pono basura daling baha,neutral
talgang babahaon iriga amang dios nakakaisi,neutral
handa permi tag ingat,positive
congrats baao oda baha,positive
ngalas paman kamu baha,negative
baha dali tumaas tah ahh kanal barado maray,neutral
flowing dere dadaloy maray kanal,neutral
pangarwa buko kalikasan problema,negative
problema tao dere tatao apon tamang basurahan nayan dulot,negative
nabaha dyn,neutral
oy grabe saring upod,neutral
baha,negative
nman bagyo dipayton inaasikaso,negative
ulat nman mapahamak,negative
kanal pinaukaran nagooranoran,negative
sinabi gibo bypass road paraot,negative
grabi baha barado drainage gaud,negative
ono problima dugay salog baha centro,negative
iriga dati diri binabaha maski kusog,negative
tinitipon marcos gagamiton uma virgil manaog,neutral
uda tiga eton pgbbgo hehehe,negative
natuturog pangiturugan uda uda kuryente,negative
irakman uban dipa naaanap tibaad daman nangyaring,negative
surang casureco 3 mas brown out kysa power,negative
kidlat asahn long brown out,negative
palpak serbisyo kaan,negative
haloy hilang casureco,negative
kapatalan tga casureco or pigtutuyo ninda,negative
kon technical aspeto tano dai ninda magibohan haloy haloy problima ninda,negative
uban issue casuraot 3 uda pagbabago suya,negative
tawan tultul serbisyo kuryente tultul kaming,negative
ill nararaot appliances diri mababalyuwan,negative
totoo diri napag iisipan,negative
surang surang christmas light sulo,negative
nagbabayad toltol toltol serbisyo itao casurico 3,negative
ahh serbisyo palpak migsingil ispid,negative
casureco 3 palpak casureco camsur palpak uda notisya abiso mauudaan kuryente,negative
atang pandemya p nagpapasakit hays,negative
harani bagong taon magbago casureco 3,negative
paki unplugged muna appliances nindo uda voltage regulator mg flat screen tv deficil maraot,negative
same in ngiri on and off kuryente tlagang kapa raot,negative
uda nakaka solve casureco ill eversince the world begun,negative
nata kaiba kmi oda kurynte 11pm ping oda kurynte,negative
nkaka hb tlaga casureco,negative
samuya reading kasuhapon oy lintian babayaran mi 5k mahigit,negative
imagine palibhasa hurugakon meter reader ninda,negative
pigpra tuom reading me,neutral
dai iigdi harong puon pandemya,negative
