cleaned_comment,Label,Labeled,
magmaan po a mga igin ninyo,Positive,Labeled,
mahiwason ang rinconada,Positive,Labeled,
simpleng pag uran baha nanaman sadi lriga.,Negative,Labeled,
"uda karapatan mag reklamo lalo na kadaklan ka mga taga rinconada ta bayad kamo hanggang 3 taon sa halagang 2,500,",Negative,Labeled,
maray kin su iba diri man apektado.,Negative,Labeled,
dibale pirmi man lipat mga taga iriga kan lalo na kin agko pa kansert sana.,Neutral,Labeled,
"paul tino tauno qnq nangana so ,gsto niniong mangana ,mauuda rw ah pag uran ska pag baha",Negative,Labeled,
kulang ang cuidad sa drainage system.,Negative,Labeled,
priority dapat yan kng lgu.,Neutral,Labeled,
paul tino pag tsagaan nira amo sanayan sabay mig suffer,Negative,Labeled,
paul tino maray sana ta sadi na kami albay as voters..,Neutral,Labeled,
pero pwd man baga ton na mapakinabangan na tubig baha.,Neutral,Labeled,
sabi baga tipunon para agko magamit sa panahon ng tag tuyot,Neutral,Labeled,
"no hate po kita , pero uno raw po kin arug sana ko dati na bulan bulan nag papakalot sa mga kanal.",Neutral,Labeled,
maging lesson na sana po kanato ngamin so bagyong kristine.,Neutral,Labeled,
godbless and keep safe po kanato ngamin,Positive,Labeled,
ka baha na tulos,Negative,Labeled,
kolang sanayton sa linig,Neutral,Labeled,
iton na mga kanal baka mga pono na sa basura kaya lang daling nag baha.,Neutral,Labeled,
kin talgang babahaon a iriga si amang dios sana kan nakakaisi,Neutral,Labeled,
maging handa sana permi tag uran na pati ingat po kita ngamin.,Positive,Labeled,
congrats sa baao oda baha a.,Positive,Labeled,
mig ngalas paman kamu kiton baha iton..,Negative,Labeled,
kaya an ang baha dali tumaas tah ahh mga kanal barado sa maray,Neutral,Labeled,
ang flowing kang tubig dere nag dadaloy sa maray paiyan sa kanal.,Neutral,Labeled,
pangarwa buko sa kalikasan ana problema,Negative,Labeled,
problema sa tao dere tatao mag apon sa tamang basurahan... kaya amo nayan dulot,Negative,Labeled,
nabaha pala dyn...,Neutral,Labeled,
rinconada ano na?,Negative,Labeled,
oy arabe sari g upod an,Neutral,Labeled,
pauno man baha tulos 4,Negative,Labeled,
agko n nman bagyo dipayton inaasikaso.,Negative,Labeled,
ulat n nman agko mapahamak,Negative,Labeled,
dapat kaya a kanal pinaukaran ta nagooranoran na,Negative,Labeled,
amo di sinabi ta nag gibo pa kaya sa bypass road lalo na paraot,Negative,Labeled,
"grabi n to baha, barado mga drainage gaud",Negative,Labeled,
ono kaya problima dugay na ana salog pero baha na sa centro.,Negative,Labeled,
uno na raw po nangyari kiton iriga ta dati po diri man san binabaha maski po lang kusog ka uran..,Negative,Labeled,
tinitipon ana tubig sabi ni marcos ta gagamiton sa uma ...sabi baga virgil manaog,Neutral,Labeled,
uda na tiga eton pgbbgo hehehe,Negative,Labeled,
"kaya man palan natuturog kita, pati sa pangiturugan uda uda a kuryente",Negative,Labeled,
irakman uban na dipa naaanap tibaad daman nangyaring,Negative,Labeled,
"surang n baga kang casureco 3 an mas lamang ang brown out kysa power ,",Negative,Labeled,
"kidlat pa sana asahn n long brown out,",Negative,Labeled,
palpak ang serbisyo kaan,Negative,Labeled,
mercy garing haloy ng hilang kan casureco yan...,Negative,Labeled,
ano kya yan kapatalan kan mga tga casureco or pictutuyo ninda?,Negative,Labeled,
ta kon technical na aspeto mn sna tano ta dai ninda magibohan nin paagi na haloy haloy na problima ninda..,Negative,Labeled,
mercy garing agreed. tagiti pa sana automatic brownout.,Negative,Labeled,
uban na yan na issue kiton ka casuraot 3 uda pagbabago. suya.,Negative,Labeled,
tawan man tabi kin tultul na na serbisyo ka kuryente ta mga tultul man kaming,Negative,Labeled,
