cleaned_comment,Label
magmaan po a mga igin ninyo,Positive
mahiwason ang rinconada,Positive
simpleng pag uran baha nanaman sadi lriga.,Negative
"uda karapatan mag reklamo lalo na kadaklan ka mga taga rinconada ta bayad kamo hanggang 3 taon sa halagang 2,500,",Negative
maray kin su iba diri man apektado.,Negative
dibale pirmi man lipat mga taga iriga kan lalo na kin agko pa kansert sana.,Neutral
"paul tino tauno qnq nangana so ,gsto niniong mangana ,mauuda rw ah pag uran ska pag baha",Negative
kulang ang cuidad sa drainage system.,Negative
priority dapat yan kng lgu.,Neutral
paul tino pag tsagaan nira amo sanayan sabay mig suffer,Negative
paul tino maray sana ta sadi na kami albay as voters..,Neutral
pero pwd man baga ton na mapakinabangan na tubig baha.,Neutral
sabi baga tipunon para agko magamit sa panahon ng tag tuyot,Neutral
"no hate po kita , pero uno raw po kin arug sana ko dati na bulan bulan nag papakalot sa mga kanal.",Neutral
maging lesson na sana po kanato ngamin so bagyong kristine.,Neutral
godbless and keep safe po kanato ngamin,Positive
ka baha na tulos,Negative
kolang sanayton sa linig,Neutral
iton na mga kanal baka mga pono na sa basura kaya lang daling nag baha.,Neutral
kin talgang babahaon a iriga si amang dios sana kan nakakaisi,Neutral
maging handa sana permi tag uran na pati ingat po kita ngamin.,Positive
congrats sa baao oda baha a.,Positive
mig ngalas paman kamu kiton baha iton..,Negative
kaya an ang baha dali tumaas tah ahh mga kanal barado sa maray,Neutral
ang flowing kang tubig dere nag dadaloy sa maray paiyan sa kanal.,Neutral
pangarwa buko sa kalikasan ana problema,Negative
problema sa tao dere tatao mag apon sa tamang basurahan... kaya amo nayan dulot,Negative
nabaha pala dyn...,Neutral
rinconada ano na?,Negative
oy arabe sari g upod an,Neutral
pauno man baha tulos 4,Negative
agko n nman bagyo dipayton inaasikaso.,Negative
ulat n nman agko mapahamak,Negative
dapat kaya a kanal pinaukaran ta nagooranoran na,Negative
amo di sinabi ta nag gibo pa kaya sa bypass road lalo na paraot,Negative
"grabi n to baha, barado mga drainage gaud",Negative
ono kaya problima dugay na ana salog pero baha na sa centro.,Negative
uno na raw po nangyari kiton iriga ta dati po diri man san binabaha maski po lang kusog ka uran..,Negative
tinitipon ana tubig sabi ni marcos ta gagamiton sa uma ...sabi baga virgil manaog,Neutral
uda na tiga eton pgbbgo hehehe,Negative
"kaya man palan natuturog kita, pati sa pangiturugan uda uda a kuryente",Negative
irakman uban na dipa naaanap tibaad daman nangyaring,Negative
"surang n baga kang casureco 3 an mas lamang ang brown out kysa power ,",Negative
"kidlat pa sana asahn n long brown out,",Negative
palpak ang serbisyo kaan,Negative
mercy garing haloy ng hilang kan casureco yan...,Negative
